Score,Fold,Attributes,mean
0.6666666666666666,5,Hypertension,0.7470588235294118
0.6862745098039216,5,heart_disease,0.7490196078431373
0.6666666666666666,5,ever_married,0.7509803921568627
0.6666666666666666,5,avg_glucose_level,0.7509803921568627
0.6470588235294118,5,bmi,0.7450980392156863
0.6470588235294118,5,Govt job,0.7568627450980392
0.6470588235294118,5,children,0.7470588235294118
0.6470588235294118,5,Self employed,0.7509803921568627
0.6470588235294118,5,Never_worked,0.7450980392156863
0.6470588235294118,5,private,0.7490196078431373
0.6470588235294118,5,smokes,0.7490196078431373
0.6666666666666666,5,never smoked,0.7549019607843137
0.6470588235294118,5,formerly smoked,0.7509803921568627
0.7254901960784313,6,everything,0.7509803921568627
0.7254901960784313,6,age,0.6843137254901961
0.7058823529411765,6,Hypertension,0.7470588235294118
0.7254901960784313,6,heart_disease,0.7490196078431373
0.7254901960784313,6,ever_married,0.7509803921568627
0.7254901960784313,6,avg_glucose_level,0.7509803921568627
0.7058823529411765,6,bmi,0.7450980392156863
0.7450980392156863,6,Govt job,0.7568627450980392
0.7254901960784313,6,children,0.7470588235294118
0.7254901960784313,6,Self employed,0.7509803921568627
0.7254901960784313,6,Never_worked,0.7450980392156863
0.7254901960784313,6,private,0.7490196078431373
0.7450980392156863,6,smokes,0.7490196078431373
0.7254901960784313,6,never smoked,0.7549019607843137
0.7647058823529411,6,formerly smoked,0.7509803921568627
0.8431372549019608,7,everything,0.7509803921568627
0.7058823529411765,7,age,0.6843137254901961
0.8235294117647058,7,Hypertension,0.7470588235294118
0.8235294117647058,7,heart_disease,0.7490196078431373
0.8431372549019608,7,ever_married,0.7509803921568627
0.8431372549019608,7,avg_glucose_level,0.7509803921568627
0.8627450980392157,7,bmi,0.7450980392156863
0.8431372549019608,7,Govt job,0.7568627450980392
0.8431372549019608,7,children,0.7470588235294118
0.8431372549019608,7,Self employed,0.7509803921568627
0.8431372549019608,7,Never_worked,0.7450980392156863
0.8431372549019608,7,private,0.7490196078431373
0.8431372549019608,7,smokes,0.7490196078431373
0.8431372549019608,7,never smoked,0.7549019607843137
0.8431372549019608,7,formerly smoked,0.7509803921568627
0.803921568627451,8,everything,0.7509803921568627
0.7254901960784313,8,age,0.6843137254901961
0.7450980392156863,8,Hypertension,0.7470588235294118
0.803921568627451,8,heart_disease,0.7490196078431373
0.7843137254901961,8,ever_married,0.7509803921568627
0.7450980392156863,8,avg_glucose_level,0.7509803921568627
0.7450980392156863,8,bmi,0.7450980392156863
0.7647058823529411,8,Govt job,0.7568627450980392
0.7843137254901961,8,children,0.7470588235294118
0.7843137254901961,8,Self employed,0.7509803921568627
0.7647058823529411,8,Never_worked,0.7450980392156863
0.7647058823529411,8,private,0.7490196078431373
0.7647058823529411,8,smokes,0.7490196078431373
0.7843137254901961,8,never smoked,0.7549019607843137
0.7843137254901961,8,formerly smoked,0.7509803921568627
0.7647058823529411,9,everything,0.7509803921568627
0.6862745098039216,9,age,0.6843137254901961
0.7647058823529411,9,Hypertension,0.7470588235294118
0.7647058823529411,9,heart_disease,0.7490196078431373
0.7647058823529411,9,ever_married,0.7509803921568627
0.7450980392156863,9,avg_glucose_level,0.7509803921568627
0.7450980392156863,9,bmi,0.7450980392156863
0.7647058823529411,9,Govt job,0.7568627450980392
0.7647058823529411,9,children,0.7470588235294118
0.7647058823529411,9,Self employed,0.7509803921568627
0.7647058823529411,9,Never_worked,0.7450980392156863
0.7843137254901961,9,private,0.7490196078431373
0.7450980392156863,9,smokes,0.7490196078431373
0.7843137254901961,9,never smoked,0.7549019607843137
0.7647058823529411,9,formerly smoked,0.7509803921568627
0.803921568627451,10,everything,0.7509803921568627
0.7254901960784313,10,age,0.6843137254901961
0.8235294117647058,10,Hypertension,0.7470588235294118
0.7843137254901961,10,heart_disease,0.7490196078431373
0.803921568627451,10,ever_married,0.7509803921568627
0.8627450980392157,10,avg_glucose_level,0.7509803921568627
0.8235294117647058,10,bmi,0.7450980392156863
0.8235294117647058,10,Govt job,0.7568627450980392
0.803921568627451,10,children,0.7470588235294118
0.8235294117647058,10,Self employed,0.7509803921568627
0.803921568627451,10,Never_worked,0.7450980392156863
0.8235294117647058,10,private,0.7490196078431373
0.8235294117647058,10,smokes,0.7490196078431373
0.803921568627451,10,never smoked,0.7549019607843137
0.803921568627451,10,formerly smoked,0.7509803921568627
